,Artist,genre,gender,love_percent,money_percent,violence_percent,drugs_percent,gendered_percent,sadness_percent,joy_percent,yes_percent,no_percent
0,Aaliyah,pop,female,95.0,15.0,35.0,0.0,100.0,20.0,40.0,65.0,100.0
1,Beyoncé,pop,female,95.0,15.0,20.0,0.0,100.0,30.0,40.0,40.0,95.0
2,Britney Spears,pop,female,80.0,0.0,35.0,0.0,100.0,20.0,35.0,20.0,95.0
3,Carly Rae Jepsen,pop,female,90.0,20.0,20.0,0.0,100.0,15.0,10.0,25.0,95.0
4,Charli XCX,pop,female,85.0,25.0,15.0,5.0,100.0,55.00000000000001,25.0,20.0,100.0
5,Dua Lipa,pop,female,80.0,10.0,20.0,10.0,100.0,55.00000000000001,10.0,40.0,100.0
6,Madonna,pop,female,75.0,15.0,15.0,0.0,100.0,15.0,25.0,35.0,90.0
7,Michael Jackson,pop,male,95.0,15.0,35.0,0.0,100.0,20.0,25.0,65.0,100.0
8,Olivia Rodrigo,pop,female,80.0,10.0,30.0,10.0,100.0,55.00000000000001,65.0,40.0,100.0
9,Taylor Swift,pop,female,90.0,30.0,50.0,0.0,100.0,30.0,45.0,60.0,100.0
10,Black Sabbath,rock,male,45.0,10.0,35.0,5.0,100.0,15.0,40.0,45.0,80.0
11,Deep Purple,rock,male,35.0,15.0,25.0,5.0,95.0,5.0,40.0,25.0,95.0
12,Foo Fighters,rock,male,30.0,0.0,10.0,0.0,100.0,5.0,25.0,25.0,90.0
13,Fugazi,rock,male,0.0,15.0,25.0,0.0,100.0,10.0,5.0,40.0,85.0
14,Led Zeppelin,rock,male,80.0,30.0,5.0,0.0,100.0,15.0,45.0,55.00000000000001,100.0
15,Nirvana,rock,male,35.0,0.0,25.0,0.0,95.0,15.0,35.0,25.0,70.0
16,Queens of the Stone Age,rock,male,55.00000000000001,20.0,10.0,5.0,100.0,5.0,20.0,40.0,80.0
17,The Rolling Stones,rock,male,65.0,15.0,20.0,10.0,100.0,10.0,20.0,25.0,80.0
18,The Strokes,rock,male,40.0,5.0,30.0,0.0,100.0,10.0,10.0,20.0,100.0
19,The White Stripes,rock,male,60.0,25.0,25.0,0.0,100.0,15.0,30.0,30.0,95.0
20,2Pac,rap,male,100.0,70.0,90.0,40.0,100.0,55.00000000000001,70.0,60.0,100.0
21,A Tribe Called Quest,rap,male,80.0,75.0,55.00000000000001,25.0,100.0,40.0,55.00000000000001,65.0,100.0
22,Eminem,rap,male,85.0,65.0,80.0,20.0,100.0,70.0,70.0,40.0,100.0
23,Ice Cube,rap,male,30.0,75.0,85.0,40.0,100.0,35.0,40.0,30.0,100.0
24,JAY-Z,rap,male,75.0,75.0,75.0,25.0,100.0,25.0,50.0,35.0,100.0
25,Kanye West,rap,male,70.0,50.0,55.00000000000001,15.0,100.0,65.0,20.0,65.0,100.0
26,Kendrick Lamar,rap,male,90.0,85.0,90.0,40.0,100.0,40.0,60.0,65.0,100.0
27,MF DOOM,rap,male,70.0,90.0,85.0,20.0,100.0,35.0,55.00000000000001,50.0,100.0
28,Nas,rap,male,75.0,95.0,95.0,70.0,100.0,45.0,50.0,45.0,100.0
29,Yasiin Bey,rap,male,70.0,80.0,70.0,5.0,100.0,45.0,60.0,75.0,100.0
30,Al Green,soul,male,100.0,5.0,5.0,0.0,100.0,15.0,50.0,35.0,90.0
31,Aretha Franklin,soul,female,90.0,15.0,15.0,0.0,100.0,20.0,35.0,35.0,95.0
32,Clarence Carter,soul,male,75.0,25.0,10.0,0.0,100.0,20.0,35.0,40.0,95.0
33,Curtis Mayfield,soul,male,70.0,35.0,30.0,10.0,100.0,15.0,45.0,35.0,100.0
34,Marvin Gaye,soul,male,95.0,25.0,5.0,0.0,100.0,20.0,45.0,40.0,100.0
35,Minnie Riperton,soul,female,70.0,5.0,5.0,5.0,100.0,5.0,50.0,45.0,90.0
36,Nina Simone,soul,female,70.0,15.0,20.0,0.0,100.0,25.0,30.0,45.0,100.0
37,Otis Redding,soul,male,95.0,10.0,5.0,0.0,100.0,10.0,30.0,45.0,90.0
38,Sam Cooke,soul,male,60.0,10.0,5.0,0.0,100.0,0.0,35.0,30.0,95.0
39,Stevie Wonder,soul,male,90.0,15.0,15.0,0.0,100.0,15.0,70.0,40.0,100.0
