Artist,manual_love_count,manual_money_count,manual_violence_count,manual_drugs_count,manual_gendered_count,manual_sadness_count,manual_joy_count,manual_yes_count,manual_no_count,featured_count,producer_count,writer_count
Al Green,212,1,1,0,452,6,21,15,98,0,24,36
Aretha Franklin,184,5,4,0,462,7,60,44,108,1,32,32
Clarence Carter,122,7,3,0,579,4,9,11,147,0,18,35
Curtis Mayfield,66,10,11,2,773,4,35,12,145,0,23,23
Marvin Gaye,289,7,1,0,583,4,19,13,139,0,23,41
Minnie Riperton,144,1,1,1,360,0,24,25,80,4,33,45
Nina Simone,69,3,5,0,416,5,9,11,116,0,20,34
Otis Redding,188,3,2,0,419,2,25,22,144,2,33,38
Sam Cooke,84,8,1,0,538,0,16,21,227,0,40,30
Stevie Wonder,266,7,4,0,666,13,72,38,177,2,25,28
